,document,start,end,label,text
23,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",607,612,DIRECTION,south
24,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",618,633,DIMENSION,5 square meters
25,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",727,735,ROOM,balcony2
26,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",808,823,DIMENSION,3 square meters
27,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",835,840,DIRECTION,north
28,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",859,870,ROOM,livingroom1
29,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",941,951,DIMENSION,36 squares
30,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",963,971,ROOM,kitchen1
31,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",1045,1054,DIMENSION,7 squares
32,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",1058,1067,DIRECTION,northeast
33,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",1069,1169,CONNECTION,"bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected"
34,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",1171,1214,CONNECTION,"bedroom1 is adjacent to balcony1, washroom1"
35,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",1216,1255,CONNECTION,"bedroom2 is next to washroom2, balcony2"
36,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",1257,1289,CONNECTION,kitchen1 is adjacent to balcony2
37,"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ",1291,1328,CONNECTION,washroom2 and washroom1 are connected
